id,message,story,status,time,type,link,name,shares
1645368438926792_905083362955307,詞很不錯,,shared_story,2016-11-01T12:46:47+0000,video,https://www.youtube.com/attribution_link?a=V1IpNYFqlIg&u=%2Fwatch%3Fv%3D6c1YT0NYabI%26feature%3Dshare,楊乃文 Naiwen Yang -【離心力 Centrifugal Force】官方歌詞版MV,0
1645368438926792_904004033063240,,,mobile_status_update,2016-10-31T05:03:54+0000,status,,,0
1645368438926792_903142756482701,,,mobile_status_update,2016-10-30T05:21:19+0000,photo,https://www.facebook.com/forestminsu/photos/a.797118003664254/1284719751570741/?type=3,花蓮森林中民宿In the forest,0
1645368438926792_899609036836073,平凡人一枚..沒這煩惱,,mobile_status_update,2016-10-25T05:16:42+0000,video,https://www.facebook.com/ETtodaySHARE/videos/1242016099188651/,ETtoday分享雲,0
1645368438926792_896726053791038,我是李嘉信可以跟我做朋友嗎QQ覺得沒朋友嗚嗚嗚...幫QQ,,mobile_status_update,2016-10-21T06:44:27+0000,status,,,0
1645368438926792_896367090493601,早在二年前升大一時就讀過這本二姐送我的書，當時只覺得（它）是一本好書，是一本寫了很多道理及社會經驗的書，當下的感覺也就僅此而已。兩年後的今天，我又把它拿出來讀過一遍，奇妙的是我彷彿跟（他）起了共鳴！兩年的歷練，才漸漸瞭解為何當時候二姐要送我這本書，才知道社會經驗歷練的重要。自己還是太菜了。#心境大不同,,added_photos,2016-10-20T16:27:43+0000,photo,https://www.facebook.com/photo.php?fbid=896367100493600&set=a.823028327827478&type=3,"Instagram photo by Cha Chin ? Oct 20, 2016 at 4:27pm UTC",0
1645368438926792_896260767170900,,,shared_story,2016-10-20T12:41:56+0000,link,https://www.youtube.com/attribution_link?a=KhLhUwvfi4g&u=%2Fwatch%3Fv%3DnUp5IHH4JtM%26feature%3Dshare,揭面了！蒙面歌王2《太傻》你是哪冒出?的9?(金志文 / ???)《蒙面唱?猜猜猜EP5》【訂閱此頻道】 161016,0
1645368438926792_895684283895215,認識，都是從交流開始的,,mobile_status_update,2016-10-19T13:54:45+0000,photo,https://www.facebook.com/ambassadorelite/photos/a.1385763764774940/1386059138078736/?type=3,靜宜大學國際菁英大使,0
1645368438926792_895163090614001,有人曾言：如果真有天堂，那巴薩隆那可能是開啟通往天堂大門的鑰匙。想去這裡生活，最好帶上3、5人住上幾個月～#畢旅清單之一#半夜睡不著覺,,added_photos,2016-10-18T17:37:35+0000,photo,https://www.facebook.com/photo.php?fbid=895163097280667&set=a.823028327827478&type=3,"Instagram photo by Cha Chin ? Oct 18, 2016 at 5:20pm UTC",0
1645368438926792_893775267419450,有些回憶，看似短短一瞬間但卻是很值得回味的，尤其是大家都為了同一件事努力時～,,added_photos,2016-10-16T15:00:23+0000,photo,https://www.facebook.com/photo.php?fbid=893775034086140&set=a.194696447327339&type=3,李嘉信的封面相片,0
1645368438926792_892952217501755,6:00～17:30 的奔波比賽，為的是要考驗自己平常的努力是否有點價值與回報。以前總以為只有球類競賽才會有團隊合作，但今天的比賽讓我的想法有所改變。三人一組碼程式，比賽過程中發生的 爭吵、共鳴、意見不合，說服及被說服，最後拼湊出答案。無形中組員們的感情就增厚了！儘管最後的表現不是盡如人意?但學會所謂的（合作）何嘗不是一種收穫。最重要的是藉由比賽可以讓自己眼界更廣，清楚的知道不能把自己限制在學校這隅角，外面的高手多的是～能力的培養是沒有盡頭的。#NCPC2015#眼神已死,,added_photos,2016-10-15T10:42:20+0000,photo,https://www.facebook.com/photo.php?fbid=892952220835088&set=a.823028327827478&type=3,"Instagram photo by Cha Chin ? Oct 15, 2016 at 10:42am UTC",0
1645368438926792_887049994758644,,,shared_story,2016-10-06T04:04:33+0000,link,http://www.appledaily.com.tw/realtimenews/article/new/20161005/961993/,彭博：宏達電大聯盟降小聯盟　完成滅亡故事 | 即時新聞 | 20161005 | 蘋果日報,0
1645368438926792_886198204843823,,,added_photos,2016-10-04T15:59:36+0000,photo,https://www.facebook.com/photo.php?fbid=886197624843881&set=a.194696447327339&type=3,李嘉信的封面相片,0
1645368438926792_884809648316012,收到我傳出去的影片不要開 那是毒 不是我傳的,,mobile_status_update,2016-10-02T10:53:24+0000,status,,,0
1645368438926792_884808531649457,臉書中毒了 求解?,,mobile_status_update,2016-10-02T10:51:33+0000,status,,,0
1645368438926792_884551298341847,,,shared_story,2016-10-02T00:31:57+0000,link,http://m.gvm.com.tw/blog_content_11454.html,《遠見》公布2016台灣最佳大學排行榜，各校競爭力全面剖析！,0
